chutes,ladders,board_type,exact_roll,board_num,game_length,frequency
9,10,random,0,12,52,9
9,10,random,0,12,57,5
9,10,random,0,12,35,18
9,10,random,0,12,20,31
9,10,random,0,12,84,2
9,10,random,0,12,11,17
9,10,random,0,12,40,9
9,10,random,0,12,36,14
9,10,random,0,12,93,1
9,10,random,0,12,80,5
9,10,random,0,12,23,20
9,10,random,0,12,14,28
9,10,random,0,12,74,5
9,10,random,0,12,47,4
9,10,random,0,12,55,5
9,10,random,0,12,62,5
9,10,random,0,12,103,1
9,10,random,0,12,48,9
9,10,random,0,12,69,6
9,10,random,0,12,34,18
9,10,random,0,12,58,10
9,10,random,0,12,8,3
9,10,random,0,12,44,12
9,10,random,0,12,98,2
9,10,random,0,12,70,4
9,10,random,0,12,65,4
9,10,random,0,12,99,6
9,10,random,0,12,135,1
9,10,random,0,12,77,2
9,10,random,0,12,45,7
9,10,random,0,12,60,4
9,10,random,0,12,32,15
9,10,random,0,12,46,11
9,10,random,0,12,165,1
9,10,random,0,12,145,1
9,10,random,0,12,97,1
9,10,random,0,12,71,3
9,10,random,0,12,10,5
9,10,random,0,12,125,2
9,10,random,0,12,67,5
9,10,random,0,12,64,4
9,10,random,0,12,128,1
9,10,random,0,12,49,5
9,10,random,0,12,81,1
9,10,random,0,12,83,4
9,10,random,0,12,73,1
9,10,random,0,12,61,5
9,10,random,0,12,91,3
9,10,random,0,12,79,3
9,10,random,0,12,9,7
9,10,random,0,12,75,3
9,10,random,0,12,129,1
9,10,random,0,12,51,5
9,10,random,0,12,43,12
9,10,random,0,12,50,5
9,10,random,0,12,106,1
9,10,random,0,12,72,1
9,10,random,0,12,119,2
9,10,random,0,12,88,1
9,10,random,0,12,134,1
9,10,random,0,12,85,1
9,10,random,0,12,92,3
9,10,random,0,12,147,1
9,10,random,0,12,110,2
9,10,random,0,12,96,1
9,10,random,0,12,78,1
9,10,random,0,12,137,2
9,10,random,0,12,95,1
9,10,random,0,12,142,1
9,10,random,0,12,151,1
9,10,random,0,12,56,3
9,10,random,0,12,111,1
9,10,random,0,12,136,1
9,10,random,0,12,87,1
9,10,random,0,12,140,1
9,10,random,0,12,7,1
9,10,random,0,12,76,1
9,10,random,0,12,154,2
9,10,random,0,12,68,1
9,10,random,0,12,89,1
9,10,random,0,12,155,1
9,10,random,0,12,173,1
9,10,random,0,13,19,35
9,10,random,0,13,17,31
9,10,random,0,13,20,37
9,10,random,0,13,25,26
9,10,random,0,13,24,25
9,10,random,0,13,5,4
9,10,random,0,13,13,49
9,10,random,0,13,37,9
9,10,random,0,13,23,37
9,10,random,0,13,15,28
9,10,random,0,13,8,29
9,10,random,0,13,12,38
9,10,random,0,13,33,15
9,10,random,0,13,28,24
9,10,random,0,13,50,11
9,10,random,0,13,26,24
9,10,random,0,13,29,16
9,10,random,0,13,14,31
9,10,random,0,13,18,29
9,10,random,0,13,34,12
9,10,random,0,13,6,20
9,10,random,0,13,11,32
9,10,random,0,13,40,12
9,10,random,0,13,46,9
9,10,random,0,13,27,18
9,10,random,0,13,30,26
9,10,random,0,13,38,16
9,10,random,0,13,10,27
9,10,random,0,13,53,3
9,10,random,0,13,36,8
9,10,random,0,13,16,24
9,10,random,0,13,54,9
9,10,random,0,13,9,44
9,10,random,0,13,7,45
9,10,random,0,13,58,3
9,10,random,0,13,42,8
9,10,random,0,13,21,29
9,10,random,0,13,31,11
9,10,random,0,13,32,10
9,10,random,0,13,22,30
9,10,random,0,13,64,2
9,10,random,0,13,47,2
9,10,random,0,13,66,4
9,10,random,0,13,55,4
9,10,random,0,13,49,3
9,10,random,0,13,48,6
9,10,random,0,13,44,4
9,10,random,0,13,110,1
9,10,random,0,13,57,2
9,10,random,0,13,51,3
9,10,random,0,13,60,3
9,10,random,0,13,59,2
9,10,random,0,13,92,1
9,10,random,0,13,98,1
9,10,random,0,13,35,9
9,10,random,0,13,41,7
9,10,random,0,13,70,2
9,10,random,0,13,78,1
9,10,random,0,13,43,9
9,10,random,0,13,39,4
9,10,random,0,13,101,1
9,10,random,0,13,121,1
9,10,random,0,13,68,2
9,10,random,0,13,52,4
9,10,random,0,13,61,2
9,10,random,0,13,108,1
9,10,random,0,13,73,2
9,10,random,0,13,86,1
9,10,random,0,13,65,4
9,10,random,0,13,69,1
9,10,random,0,13,91,2
9,10,random,0,13,89,1
9,10,random,0,13,45,3
9,10,random,0,13,83,1
9,10,random,0,13,63,2
9,10,random,0,13,67,2
9,10,random,0,13,99,1
9,10,random,0,13,80,1
9,10,random,0,13,74,1
9,10,random,0,13,100,1
9,10,random,0,13,56,1
9,10,random,0,13,75,1
9,10,random,0,14,18,25
9,10,random,0,14,71,4
9,10,random,0,14,129,2
9,10,random,0,14,21,26
9,10,random,0,14,23,19
9,10,random,0,14,36,20
9,10,random,0,14,61,8
9,10,random,0,14,41,13
9,10,random,0,14,14,32
9,10,random,0,14,59,7
9,10,random,0,14,56,6
9,10,random,0,14,15,38
9,10,random,0,14,32,22
9,10,random,0,14,55,13
9,10,random,0,14,45,9
9,10,random,0,14,31,12
9,10,random,0,14,33,17
9,10,random,0,14,44,8
9,10,random,0,14,24,25
9,10,random,0,14,13,28
9,10,random,0,14,42,10
9,10,random,0,14,16,27
9,10,random,0,14,76,4
9,10,random,0,14,29,15
9,10,random,0,14,89,6
9,10,random,0,14,85,4
9,10,random,0,14,62,5
9,10,random,0,14,57,12
9,10,random,0,14,35,15
9,10,random,0,14,87,4
9,10,random,0,14,39,18
9,10,random,0,14,68,7
9,10,random,0,14,19,24
9,10,random,0,14,28,18
9,10,random,0,14,48,7
9,10,random,0,14,20,30
9,10,random,0,14,22,15
9,10,random,0,14,107,3
9,10,random,0,14,50,11
9,10,random,0,14,38,13
9,10,random,0,14,79,5
9,10,random,0,14,34,18
9,10,random,0,14,37,13
9,10,random,0,14,17,29
9,10,random,0,14,72,6
9,10,random,0,14,84,4
9,10,random,0,14,108,2
9,10,random,0,14,25,13
9,10,random,0,14,139,1
9,10,random,0,14,46,19
9,10,random,0,14,58,9
9,10,random,0,14,27,17
9,10,random,0,14,77,3
9,10,random,0,14,43,10
9,10,random,0,14,12,19
9,10,random,0,14,49,14
9,10,random,0,14,30,20
9,10,random,0,14,73,2
9,10,random,0,14,194,1
9,10,random,0,14,143,2
9,10,random,0,14,88,4
9,10,random,0,14,52,10
9,10,random,0,14,94,1
9,10,random,0,14,67,6
9,10,random,0,14,26,20
9,10,random,0,14,63,9
9,10,random,0,14,99,4
9,10,random,0,14,60,2
9,10,random,0,14,69,4
9,10,random,0,14,120,3
9,10,random,0,14,53,10
9,10,random,0,14,54,9
9,10,random,0,14,74,9
9,10,random,0,14,65,8
9,10,random,0,14,104,2
9,10,random,0,14,112,4
9,10,random,0,14,51,8
9,10,random,0,14,144,2
9,10,random,0,14,98,2
9,10,random,0,14,81,3
9,10,random,0,14,109,3
9,10,random,0,14,66,2
9,10,random,0,14,96,3
9,10,random,0,14,80,2
9,10,random,0,14,156,1
9,10,random,0,14,157,1
9,10,random,0,14,214,1
9,10,random,0,14,11,7
9,10,random,0,14,82,5
9,10,random,0,14,119,1
9,10,random,0,14,70,4
9,10,random,0,14,184,1
9,10,random,0,14,205,1
9,10,random,0,14,86,4
9,10,random,0,14,40,8
9,10,random,0,14,170,1
9,10,random,0,14,102,1
9,10,random,0,14,126,2
9,10,random,0,14,78,2
9,10,random,0,14,138,3
9,10,random,0,14,100,1
9,10,random,0,14,101,4
9,10,random,0,14,75,4
9,10,random,0,14,105,2
9,10,random,0,14,115,1
9,10,random,0,14,64,1
9,10,random,0,14,200,1
9,10,random,0,14,135,1
9,10,random,0,14,125,1
9,10,random,0,14,47,2
9,10,random,0,14,123,1
9,10,random,0,14,110,1
9,10,random,0,14,113,1
9,10,random,0,14,122,1
9,10,random,0,14,255,1
9,10,random,0,14,83,1
9,10,random,0,14,147,1
9,10,random,0,14,93,2
9,10,random,0,14,118,1
9,10,random,0,14,236,1
9,10,random,0,14,153,1
9,10,random,0,14,116,2
9,10,random,0,14,97,1
9,10,random,0,14,121,1
9,10,random,0,14,91,1
9,10,random,0,14,151,1
9,10,random,0,14,141,1
9,10,random,0,14,259,1
9,10,random,0,15,47,3
9,10,random,0,15,18,70
9,10,random,0,15,25,41
9,10,random,0,15,23,60
9,10,random,0,15,22,66
9,10,random,0,15,20,68
9,10,random,0,15,17,69
9,10,random,0,15,24,45
9,10,random,0,15,19,76
9,10,random,0,15,21,61
9,10,random,0,15,12,21
9,10,random,0,15,16,39
9,10,random,0,15,31,12
9,10,random,0,15,26,35
9,10,random,0,15,29,25
9,10,random,0,15,10,17
9,10,random,0,15,41,4
9,10,random,0,15,35,6
9,10,random,0,15,9,13
9,10,random,0,15,27,24
9,10,random,0,15,15,33
9,10,random,0,15,11,21
9,10,random,0,15,13,20
9,10,random,0,15,32,15
9,10,random,0,15,14,33
9,10,random,0,15,48,2
9,10,random,0,15,33,16
9,10,random,0,15,42,6
9,10,random,0,15,55,1
9,10,random,0,15,36,8
9,10,random,0,15,28,17
9,10,random,0,15,49,2
9,10,random,0,15,40,5
9,10,random,0,15,45,2
9,10,random,0,15,69,1
9,10,random,0,15,30,13
9,10,random,0,15,54,1
9,10,random,0,15,34,11
9,10,random,0,15,38,7
9,10,random,0,15,37,7
9,10,random,0,15,44,1
9,10,random,0,15,39,4
9,10,random,0,15,8,5
9,10,random,0,15,71,1
9,10,random,0,15,56,2
9,10,random,0,15,43,2
9,10,random,0,15,64,1
9,10,random,0,15,51,3
9,10,random,0,15,46,2
9,10,random,0,15,57,1
9,10,random,0,15,58,1
9,10,random,0,15,50,1
9,10,random,0,16,6,75
9,10,random,0,16,51,5
9,10,random,0,16,23,28
9,10,random,0,16,19,37
9,10,random,0,16,5,71
9,10,random,0,16,21,27
9,10,random,0,16,40,10
9,10,random,0,16,36,10
9,10,random,0,16,79,3
9,10,random,0,16,18,24
9,10,random,0,16,34,13
9,10,random,0,16,67,3
9,10,random,0,16,70,7
9,10,random,0,16,10,18
9,10,random,0,16,31,11
9,10,random,0,16,55,8
9,10,random,0,16,33,18
9,10,random,0,16,37,8
9,10,random,0,16,11,11
9,10,random,0,16,25,16
9,10,random,0,16,7,34
9,10,random,0,16,17,15
9,10,random,0,16,9,36
9,10,random,0,16,62,3
9,10,random,0,16,15,4
9,10,random,0,16,4,20
9,10,random,0,16,28,12
9,10,random,0,16,32,11
9,10,random,0,16,26,12
9,10,random,0,16,30,11
9,10,random,0,16,14,8
9,10,random,0,16,8,38
9,10,random,0,16,85,2
9,10,random,0,16,22,22
9,10,random,0,16,103,2
9,10,random,0,16,77,2
9,10,random,0,16,41,14
9,10,random,0,16,88,3
9,10,random,0,16,64,3
9,10,random,0,16,46,10
9,10,random,0,16,39,12
9,10,random,0,16,48,6
9,10,random,0,16,42,10
9,10,random,0,16,95,1
9,10,random,0,16,49,7
9,10,random,0,16,20,24
9,10,random,0,16,57,7
9,10,random,0,16,76,8
9,10,random,0,16,35,17
9,10,random,0,16,80,5
9,10,random,0,16,47,10
9,10,random,0,16,72,5
9,10,random,0,16,63,4
9,10,random,0,16,90,3
9,10,random,0,16,13,4
9,10,random,0,16,24,16
9,10,random,0,16,27,20
9,10,random,0,16,58,6
9,10,random,0,16,45,5
9,10,random,0,16,29,17
9,10,random,0,16,16,13
9,10,random,0,16,38,10
9,10,random,0,16,133,1
9,10,random,0,16,53,3
9,10,random,0,16,59,4
9,10,random,0,16,50,6
9,10,random,0,16,119,3
9,10,random,0,16,69,2
9,10,random,0,16,82,4
9,10,random,0,16,52,5
9,10,random,0,16,86,2
9,10,random,0,16,91,2
9,10,random,0,16,43,12
9,10,random,0,16,71,2
9,10,random,0,16,94,2
9,10,random,0,16,61,4
9,10,random,0,16,112,1
9,10,random,0,16,99,2
9,10,random,0,16,56,4
9,10,random,0,16,78,3
9,10,random,0,16,54,5
9,10,random,0,16,12,4
9,10,random,0,16,44,11
9,10,random,0,16,66,6
